year,node_out,node_in,type,re_export_A,trf_A,capacity_A,capacity_constrained_A,inv_A,loss_A,emm_type_1,emm_A_1,emm_type_2,emm_A_2
2012,LA,TX,Pipeline,0,4.8,325,1,1.5,0,GHG,0,,
2012,ME,EC,Pipeline,0,4.78,300,1,1.5,0,GHG,0,,
2012,MI,EC,Pipeline,0,4.85,2620,1,1.5,0,GHG,0,,
2012,MI,NJ,Pipeline,0,4.86,0,1,1.5,0,GHG,0,,
2012,MT,WA,Pipeline,0,4.86,0,1,1.5,0,GHG,0,,
2012,MT,WY,Pipeline,0,4.81,145,1,1.5,0,GHG,0,,
2012,NC,NJ,Pipeline,0,4.86,860,1,1.5,0,GHG,0,,
2012,ND,IL,Pipeline,0,4.91,2620,1,1.5,0,GHG,0,,
2012,ND,MT,Pipeline,0,4.75,145,1,1.5,0,GHG,0,,
2012,NE,OK,Pipeline,0,4.8,591,1,1.5,0,GHG,0,,
2012,NM,TX,Pipeline,0,4.9,400,1,1.5,0,GHG,0,,
2012,OK,IL,Pipeline,0,4.91,913,1,1.5,0,GHG,0,,
2012,OK,TX,Pipeline,0,3.11,850,1,1.5,0,GHG,0,,
2012,TN,IL,Pipeline,0,4.78,1200,1,1.5,0,GHG,0,,
2012,TX,GA,Pipeline,0,4.93,860,1,1.5,0,GHG,0,,
2012,TX,OH,Pipeline,0,5,300,1,1.5,0,GHG,0,,
2012,TX,OK,Pipeline,0,4.85,720,1,1.5,0,GHG,0,,
2012,WA,OR,Pipeline,0,4.81,295,1,1.5,0,GHG,0,,
2012,WC,MN,Pipeline,0,4.96,880,1,1.5,0,GHG,0,,
2012,WC,MT,Pipeline,0,4.99,145,1,1.5,0,GHG,0,,
2012,WC,ND,Pipeline,0,4.93,2620,1,1.5,0,GHG,0,,
2012,WC,NE,Pipeline,0,4.92,591,1,1.5,0,GHG,0,,
2012,WC,WA,Pipeline,0,4,180,1,1.5,0,GHG,0,,
2012,WC,WY,Pipeline,0,4.93,280,1,1.5,0,GHG,0,,
2012,WY,IL,Pipeline,0,4.99,280,1,1.5,0,GHG,0,,
2012,WY,KS,Pipeline,0,4.84,230,1,1.5,0,GHG,0,,
2012,AL_R,FL_R,Rail,0,2.15,0,0,1.5,0,GHG,0,,
2012,AL_R,GA_R,Rail,0,1.4,0,0,1.5,0,GHG,0,,
2012,AL_R,MS_R,Rail,0,1.35,0,0,1.5,0,GHG,0,,
2012,AL_R,TN_R,Rail,0,1.45,0,0,1.5,0,GHG,0,,
2012,AR_R,LA_R,Rail,0,1.61,0,0,1.5,0,GHG,0,,
2012,AR_R,MO_R,Rail,0,1.56,0,0,1.5,0,GHG,0,,
2012,AR_R,MS_R,Rail,0,1.49,0,0,1.5,0,GHG,0,,
2012,AR_R,OK_R,Rail,0,1.61,0,0,1.5,0,GHG,0,,
2012,AR_R,TN_R,Rail,0,1.78,0,0,1.5,0,GHG,0,,
2012,AR_R,TX_R,Rail,0,2,0,0,1.5,0,GHG,0,,
2012,AZ_R,CA_R,Rail,0,2.27,0,0,1.5,0,GHG,0,,
2012,AZ_R,NM_R,Rail,0,1.72,0,0,1.5,0,GHG,0,,
