,CAN,MEX,ONA,PADD1,PADD2,PADD3,PADD4,PADD5
CAN,,,,,1680,,235,150
MEX,,,,,,,,
ONA,,,,,,,,
PADD1,,,,,3.7,4.6,,
PADD2,,,,5.5,,222.2,92.6,
PADD3,1,,,8.4,961.7,,0,
PADD4,,,,,223.8,14.8,,
PADD5,,,,,,,,
