,CAN,MEX,ONA,PADD1,PADD2,PADD3,PADD4,PADD5
CAN,,,20,75,,,,25
MEX,,,238.5020372,,,975,,
ONA,3,,,788.7311347,,3000,,991.337775
PADD1,,,,,5,15.3,,
PADD2,,,,,,58,,
PADD3,,,,,,,,
PADD4,,,,,,,,
PADD5,,,,,,,,
