,CAN,MEX,ONA,PADD1,PADD2,PADD3,PADD4,PADD5
CAN,,,,195,,,,
MEX,,,305,2,,973,,
ONA,,,,869,44,3437,,974
PADD1,,,,,0.8,5.3,,
PADD2,,,,9.2,,58.8,,
PADD3,,,,2.7,,,,1.6
PADD4,,,,,,,,
PADD5,,,,,,,,
