,CAN,MEX,ONA,PADD1,PADD2,PADD3,PADD4,PADD5
CAN,,,,10.7,2.5,8.2,,2.8
MEX,,,,,,,,
ONA,,,,,,,,
PADD1,0,,,,0,,,
PADD2,16.9,,,55.2,,203.6,0,21.7
PADD3,0,,,,1,,0,1
PADD4,,,,,2.4,10.8,,0.9
PADD5,0,,,,0,0,0,
